filename,isHealthy
img0.jpg,1
img1.jpg,1
img2.jpg,1
img3.jpg,1
img4.jpg,1
img5.jpg,1
img6.jpg,1
img7.jpg,1
img8.jpg,1
img9.jpg,1
img10.jpg,1
img11.jpg,1
img12.jpg,1
img13.jpg,1
img14.jpg,1
img15.jpg,1
img16.jpg,1
img17.jpg,1
img18.jpg,1
img19.jpg,1
img20.jpg,1
img21.jpg,1
img22.jpg,1
img23.jpg,1
img24.jpg,1
img25.jpg,1
img26.jpg,1
img27.jpg,1
img28.jpg,1
img29.jpg,1
img30.jpg,1
img31.jpg,1
img32.jpg,1
img33.jpg,1
img34.jpg,1
img35.jpg,1
img36.jpg,1
img37.jpg,1
img38.jpg,1
img39.jpg,1
img40.jpg,1
img41.jpg,1
img42.jpg,1
img43.jpg,1
img44.jpg,1
img45.jpg,1
img46.jpg,1
img47.jpg,1
img48.jpg,1
img49.jpg,1
img50.jpg,1
img51.jpg,1
img52.jpg,1
img53.jpg,1
img54.jpg,1
img55.jpg,1
img56.jpg,1
img57.jpg,1
img58.jpg,1
img59.jpg,1
img60.jpg,1
img61.jpg,1
img62.jpg,1
img63.jpg,1
img64.jpg,1
img65.jpg,1
img66.jpg,1
img67.jpg,1
img68.jpg,1
img69.jpg,1
img70.jpg,1
img71.jpg,1
img72.jpg,1
img73.jpg,1
img74.jpg,1
img75.jpg,1
img76.jpg,1
img77.jpg,1
img78.jpg,1
img79.jpg,1
img80.jpg,1
img81.jpg,1
img82.jpg,1
img83.jpg,1
img84.jpg,1
img85.jpg,1
img86.jpg,1
img87.jpg,1
img88.jpg,1
img89.jpg,1
img90.jpg,1
img91.jpg,1
img92.jpg,1
img93.jpg,1
img94.jpg,1
img95.jpg,1
img96.jpg,1
img97.jpg,1
img98.jpg,1
img99.jpg,1
img100.jpg,1
img101.jpg,1
img102.jpg,1
img103.jpg,1
img104.jpg,1
img105.jpg,1
img106.jpg,1
img107.jpg,1
img108.jpg,1
img109.jpg,1
img110.jpg,1
img111.jpg,1
